preset_id,preset_label,order,row_dimension_id,row_dimension_label,col_dimension_id,col_dimension_label,status,available,profile_available,missing_dimensions,profile_rows,profile_links,source_document_links,curated_links,weighted_links,avg_confidence_score,metrics_supported,source_mode,rerun_command
admin_segmento,Administrador × Segmento,1,admin,Administrador,segmento,Segmento,ok,True,True,,183,3153,0,0,0,,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
gestor_segmento,Gestor × Segmento,2,gestor,Gestor,segmento,Segmento,ok,True,True,,860,3146,0,0,0,,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
cedente_segmento,Cedente/sacado × Segmento,3,cedente_sacado,Cedente/sacado,segmento,Segmento,ok,True,True,,253,265,265,265,203,0.8630171277997364,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
cedente_admin,Cedente/sacado × Administrador,4,cedente_sacado,Cedente/sacado,admin,Administrador,ok,True,True,,272,279,279,279,207,0.8653308823529411,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
setor_ano_primeira_oferta,Setor cedente × Ano 1ª oferta,5,setor_cedente,Setor cedente,ano_primeira_oferta,Ano 1ª oferta,ok,True,True,,29,492,492,492,0,0.5824797759433609,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
segmento_safra_emissao,Segmento × Safra emissão,6,segmento,Segmento,safra_emissao,Safra emissão,ok,True,True,,25,1202,0,0,0,,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
setor_indexador,Setor cedente × Indexador,7,setor_cedente,Setor cedente,indexador,Indexador,ok,True,True,,17,80,80,80,79,0.729323168661404,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
segmento_indexador,Segmento × Indexador,8,segmento,Segmento,indexador,Indexador,ok,True,True,,16,88,88,0,87,0.8257478632478632,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
admin_tipo_cota,Administrador × Tipo de cota,9,admin,Administrador,tipo_cota,Tipo de cota,ok,True,True,,29,83,83,0,79,0.8521921182266009,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
criterio_segmento,Critério × Segmento,10,criterio,Critério,segmento,Segmento,ok,True,True,,144,3284,3284,0,3248,0.7454081425142779,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
status_curadoria_segmento,Status curadoria × Segmento,11,status_curadoria,Status curadoria,segmento,Segmento,ok,True,True,,9,450,450,450,0,0.6150815303797863,PL médio | Fundos | Veículos,dimension_profiles,python scripts/build_fidc_industry_dimension_profiles.py
