view_order,view,series_order,series_label,instrument_official,selected_2025_rank,period_order,period_label,period_start,period_end,is_full_year,closed_offers,registered_volume_brl,share_of_period_view_volume,previous_period_label,previous_period_start,previous_period_end,previous_registered_volume_brl,yoy_growth,yoy_comparable,universe_closed_offers,universe_registered_volume_brl,source_dataset,source_url,source_as_of_date,source_archive_sha256,latest_source_closing_date,scope,excluded_instruments,methodology
1,FIDCs vs demais elegíveis,1,FIDCs,COTAS DE FIDC,0,1,2023 FY,2023-01-01,2023-12-31,True,350,26476286193.56,0.06968834462090048,N/D — base inicia em 2023,,,,,False,1293,379924165763.86005,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
1,FIDCs vs demais elegíveis,2,Demais elegíveis,"Todos os instrumentos elegíveis, exceto Cotas de FIDC",0,1,2023 FY,2023-01-01,2023-12-31,True,943,353447879570.30005,0.9303116553790995,N/D — base inicia em 2023,,,,,False,1293,379924165763.86005,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
1,FIDCs vs demais elegíveis,1,FIDCs,COTAS DE FIDC,0,2,2024 FY,2024-01-01,2024-12-31,True,1009,95416726133.75,0.1317637466320733,2023 FY,2023-01-01,2023-12-31,26476286193.56,2.6038561237851714,True,2519,724150068380.98,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
1,FIDCs vs demais elegíveis,2,Demais elegíveis,"Todos os instrumentos elegíveis, exceto Cotas de FIDC",0,2,2024 FY,2024-01-01,2024-12-31,True,1510,628733342247.23,0.8682362533679266,2023 FY,2023-01-01,2023-12-31,353447879570.30005,0.7788573042554532,True,2519,724150068380.98,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
1,FIDCs vs demais elegíveis,1,FIDCs,COTAS DE FIDC,0,3,2025 FY,2025-01-01,2025-12-31,True,1473,116921319054.76999,0.15125342892558244,2024 FY,2024-01-01,2024-12-31,95416726133.75,0.22537550587174837,True,3084,773015989689.04,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
1,FIDCs vs demais elegíveis,2,Demais elegíveis,"Todos os instrumentos elegíveis, exceto Cotas de FIDC",0,3,2025 FY,2025-01-01,2025-12-31,True,1611,656094670634.27,0.8487465710744175,2024 FY,2024-01-01,2024-12-31,628733342247.23,0.04351817622594134,True,3084,773015989689.04,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
1,FIDCs vs demais elegíveis,1,FIDCs,COTAS DE FIDC,0,4,2026 jan-jun,2026-01-01,2026-06-30,False,771,65488118983.56,0.20968477794367513,2025 jan-jun,2025-01-01,2025-06-30,57158706968.36,0.1457242904359386,True,1504,312316991370.5,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
1,FIDCs vs demais elegíveis,2,Demais elegíveis,"Todos os instrumentos elegíveis, exceto Cotas de FIDC",0,4,2026 jan-jun,2026-01-01,2026-06-30,False,733,246828872386.94,0.7903152220563249,2025 jan-jun,2025-01-01,2025-06-30,267703804249.75,-0.07797771840154744,True,1504,312316991370.5,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
2,FIDCs vs instrumentos materiais de 2025,1,FIDCs,COTAS DE FIDC,0,1,2023 FY,2023-01-01,2023-12-31,True,350,26476286193.56,0.06973492161204274,N/D — base inicia em 2023,,,,,False,1293,379924165763.86005,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
2,FIDCs vs instrumentos materiais de 2025,2,Debêntures,DEBENTURES,1,1,2023 FY,2023-01-01,2023-12-31,True,330,229291431673.0,0.6039223136180998,N/D — base inicia em 2023,,,,,False,1293,379924165763.86005,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,2026-06-30,Oferta pública primária encerrada | todos os ritos disponíveis na CVM | data de encerramento no período | volume registrado positivo | instrumentos da lista de exclusão removidos,Cotas de FII | Cotas de FIF | Cotas de FIP | Cotas de FIAGRO - FII | Cotas de FIAGRO - FIP | Cotas de FIAGRO - FIDC | Ações | Cotas de Fundos de Infra | Cotas de Funcine | Certificado de depósito de ações (Unit) | Debêntures Conversíveis | Cotas de FIAGRO,Rito automático: uma oferta = Numero_Requerimento. Ritos ordinários e legados: registro + emissor + data de encerramento + instrumento; classes de FIDC do mesmo registro são somadas. 2024/2025 YoY compara anos completos; 2026 compara jan-jun/26 com jan-jun/25. Os instrumentos materiais são os quatro maiores tipos não FIDC por volume em 2025FY.
