closeout_id,ordem,pacote_tipo,escopo,prioridade,status_fechamento,bloqueia_publicacao,exige_nota_publica,pendencias,fundos,pl_referencia_brl,competencia_referencia,evidencia,acao_sugerida,ui_surface,source_artifacts,rerun_command,record_ids_sample
gate_readiness_monthly_delta_queue,10,portão,Delta mensal,alta,bloqueado,True,False,71,0,0,202605,63 novos; 8 reativados; alta prioridade 71/71 abertos (71 pendentes; 0 em andamento; 0 fechados),Fechar ou justificar as ações do delta mensal de maior prioridade.,Pipeline > Portão,industry_monthly_delta_manifest.json,python scripts/build_fidc_industry_monthly_delta.py,readiness_monthly_delta_queue
gate_readiness_curation_queue,11,portão,Curadoria,alta,bloqueado,True,False,3581,0,0,202605,82888 abertas; alta prioridade 3581/3581 abertas (3581 pendentes; 0 em andamento; 0 fechadas),"Usar a fila única para fechar delta, lacunas estruturais, chunks e rastreabilidade da competência.",Pipeline > Portão,industry_curation_queue.csv.gz,python scripts/build_fidc_industry_curation_queue.py,readiness_curation_queue
gate_plan_monthly_delta_200,18,portão,Gerar delta mensal e fila de curadoria,alta,bloqueado,True,False,1,0,0,202605,Delta mensal: 71 (Fechar ou justificar as ações do delta mensal de maior prioridade.),Fechar bloqueios/atenções vinculados antes de depender desta etapa.,Pipeline > Portão,monthly_delta | manifest,python scripts/build_fidc_industry_monthly_delta.py,plan_monthly_delta_200
gate_plan_incremental_onboarding_201,19,portão,Materializar onboarding dos FIDCs novos/reativados,alta,bloqueado,True,False,1,0,0,202605,"Delta mensal: 71 (Fechar ou justificar as ações do delta mensal de maior prioridade.) | Curadoria: 3581 (Usar a fila única para fechar delta, lacunas estruturais, chunks e rastreabilidade da competência.) | Documentos: 27 (Acompanhar e fechar chunks no editor Documentos > Chunks antes de depender das extrações documentais.) | Snapshot: 4120 (Priorizar lacunas estruturais em FIDCs materiais antes de publicar cortes por participante.)",Fechar bloqueios/atenções vinculados antes de depender desta etapa.,Pipeline > Portão,incremental_onboarding | manifest,python scripts/build_fidc_industry_incremental_onboarding.py,plan_incremental_onboarding_201
gate_plan_cedentes_204,22,portão,Regerar base de cedentes/sacados,alta,bloqueado,True,False,1,0,0,202605,"Snapshot: 4120 (Priorizar lacunas estruturais em FIDCs materiais antes de publicar cortes por participante.) | Curadoria: 3581 (Usar a fila única para fechar delta, lacunas estruturais, chunks e rastreabilidade da competência.)",Fechar bloqueios/atenções vinculados antes de depender desta etapa.,Pipeline > Portão,cedentes_structured | manifest | review_audit,python scripts/build_fidc_industry_cedentes.py,plan_cedentes_204
gate_plan_criteria_205,23,portão,Regerar critérios e subordinação mínima,alta,bloqueado,True,False,1,0,0,202605,"Snapshot: 4120 (Priorizar lacunas estruturais em FIDCs materiais antes de publicar cortes por participante.) | Curadoria: 3581 (Usar a fila única para fechar delta, lacunas estruturais, chunks e rastreabilidade da competência.)",Fechar bloqueios/atenções vinculados antes de depender desta etapa.,Pipeline > Portão,criteria_structured | manifest | review_audit,python scripts/build_fidc_industry_criteria.py,plan_criteria_205
gate_plan_dimension_catalog_207,25,portão,Regerar catálogo de dimensões,alta,bloqueado,True,False,1,0,0,202605,"Snapshot: 4120 (Priorizar lacunas estruturais em FIDCs materiais antes de publicar cortes por participante.) | Curadoria: 3581 (Usar a fila única para fechar delta, lacunas estruturais, chunks e rastreabilidade da competência.)",Fechar bloqueios/atenções vinculados antes de depender desta etapa.,Pipeline > Portão,dimension_catalog | manifest,python scripts/build_fidc_industry_dimensions.py,plan_dimension_catalog_207
gate_plan_curation_queue_208,26,portão,Consolidar fila única de curadoria,alta,bloqueado,True,False,1,0,0,202605,"Curadoria: 3581 (Usar a fila única para fechar delta, lacunas estruturais, chunks e rastreabilidade da competência.)",Fechar bloqueios/atenções vinculados antes de depender desta etapa.,Pipeline > Portão,curation_queue | manifest | curation_queue_summary,python scripts/build_fidc_industry_curation_queue.py,plan_curation_queue_208
queue_catalog_gap_completar_rastreabilidade_100,100,fila única,catalog_gap · completar rastreabilidade,alta,bloqueado,True,False,2502,390,0.0,202605,Cedente/sacado: 60.701.190/0001-04 | Cedente/sacado: 13.807.406/0001-22 | Cedente/sacado: 17.012.685/0001-99,página,Pipeline > Fila única,industry_dimension_catalog.csv.gz | dimension_catalog_gap_actions.csv,python scripts/build_fidc_industry_dimensions.py,catalog_cedente_sacado_10756703000106_5f6631a10ec4 | catalog_cedente_sacado_13807406000122_59a5e0054cb7 | catalog_cedente_sacado_17012685000199_9ce796062418 | catalog_cedente_sacado_18185812000114_54b2a539a557 | catalog_cedente_sacado_18185812000114_8e4b4bd6574d | catalog_cedente_sacado_28879529000146_4ba94cb18860 | catalog_cedente_sacado_31368761000124_7a948de208b2 | catalog_cedente_sacado_31368761000124_d3f6fb35c471
queue_snapshot_gap_completar_camadas_estruturadas_101,101,fila única,snapshot_gap · completar camadas estruturadas,alta,bloqueado,True,False,1008,1008,225312338892.97,202605,sem documento | sem documento local | sem cedente/sacado,sem documento | sem documento local | sem cedente/sacado | sem critérios,Pipeline > Fila única,industry_fund_snapshot.csv.gz | snapshot_gap_actions.csv,python scripts/build_fidc_industry_fund_snapshot.py,snapshot_2026-05_26286939000158 | snapshot_2026-05_62393829000159 | snapshot_2026-05_65976848000104 | snapshot_2026-05_52256912000122 | snapshot_2026-05_60528786000146 | snapshot_2026-05_47228232000165 | snapshot_2026-05_50114948000146 | snapshot_2026-05_61652768000134
