veiculo_id,tipo,nome_comercial,nome_oficial,numero_emissao,cnpj_ou_emissora,securitizadora,data_inicio_ou_emissao,data_bookbuilding,data_encerramento_oferta,situacao,administrador,gestor,custodiante,agente_fiduciario,escriturador,auditor,agencia_rating,coordenador_lider,demais_coordenadores,participantes_especiais,pl_ou_saldo_Rmi,carteira_Rmi,data_base,fonte_id,status
FIDC-I,FIDC,Solfacil FIDC I,n/d,n/a,36.771.685/0001-17,n/a,2020-12-21,n/a,n/a,Em funcionamento,Daycoval,Anga,n/d,n/d,n/d,n/d,Austin Rating,n/a,n/a,n/a,83.7,77.6,2026-07-31,ANX-DECK,Documentado
FIDC-II,FIDC,Solfacil FIDC II,GREEN SOLFACIL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,n/a,42.462.306/0001-00,n/a,2021-10-15,n/a,n/a,Em funcionamento,Banco Genial S.A. (CNPJ 45.246.410/0001-55),Anga,n/d,n/d,n/d,n/d,Austin Rating,n/a,n/a,n/a,94.1,102.5,2026-07-31,ANX-DECK; ANX-PRO-K1,Documentado
FIDC-III,FIDC,Solfacil FIDC III,n/d,n/a,49.920.525/0001-34,n/a,2023-07-11,n/a,n/a,Em funcionamento,Daycoval,Regia,n/d,n/d,n/d,n/d,Fitch Ratings; Austin Rating,n/a,n/a,n/a,141.1,131.5,2026-07-31,ANX-DECK,Documentado
FIDC-IV,FIDC,Solfacil FIDC IV,GREEN SOLFACIL IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,n/a,44.909.456/0001-44,n/a,2022-06-23,n/a,n/a,Em funcionamento,Banco Genial S.A. (CNPJ 45.246.410/0001-55),Genial,n/d,n/d,n/d,n/d,Austin Rating,n/a,n/a,n/a,17.5,14.6,2026-07-31,ANX-DECK; ANX-PRO-K1,Documentado
FIDC-V,FIDC,Solfacil FIDC V,n/d,n/a,47.240.785/0001-33,n/a,2023-03,n/a,n/a,Em funcionamento,Daycoval,Anga,n/d,n/d,n/d,n/d,Austin Rating,n/a,n/a,n/a,67.5,66.7,2026-07-31,ANX-DECK,Documentado
FIDC-VI,FIDC,Solfacil FIDC VI,n/d,n/a,57.028.406/0001-08,n/a,2024-11-06,n/a,n/a,Em funcionamento,Limine,Regia,n/d,n/d,n/d,n/d,Austin Rating,n/a,n/a,n/a,211.1,147.7,2026-07-31,ANX-DECK,Documentado
FIDC-VII,FIDC,Solfacil FIDC VII,n/d,n/a,63.505.455/0001-89,n/a,2026-02-06,n/a,n/a,"Em funcionamento (CVM 175, subclasses)",Banco Genial,Anga,n/d,n/d,n/d,n/d,Moody's America Latina,n/a,n/a,n/a,619.6,446.1,2026-07-31,ANX-DECK,Documentado
CRI-I,CRI,CRI Solfacil I,"1a Emissao, em 5 series (1 privada + 4 publicas), da Kanastra Securitizadora S.A.",1a,48.238.484/0001-38,Kanastra Securitizadora S.A.,2024-01-15,n/d,2024-02-23,Ativa / adimplente,n/a,n/a,n/d,Vortx DTVM Ltda. (CNPJ 22.610.500/0001-88),Oliveira Trust DTVM S.A. (CNPJ 36.113.876/0004-34),n/d,Fitch Ratings,Banco Itau BBA S.A. (CNPJ 17.298.092/0001-30),n/a,BTG Pactual; XP Investimentos; Orama; Banco Andbank (Brasil),603.0,n/d,2026-08-21,ANX-ENC-K1; ANX-LAM-K1; ANX-PRO-K1; ANX-DECK,Documentado
CRI-II,CRI,CRI Solfacil II,"2a Emissao, em 5 series (1 privada + 4 publicas), da Kanastra Securitizadora S.A.",2a,48.238.484/0001-38,Kanastra Securitizadora S.A.,2024-06-25,2024-06-20,n/d,Ativa / adimplente,n/a,n/a,n/d,Oliveira Trust DTVM S.A. (CNPJ 36.113.876/0001-91),n/d,n/d,Fitch Ratings; Moody's America Latina,"Itau BBA Assessoria Financeira S.A. (CNPJ 04.845.753/0001-59), sucessor legal do Banco Itau BBA S.A. (CNPJ 17.298.092/0001-30)",XP Investimentos,n/a,750.0,n/d,2026-08-21,ANX-CM-K2; ANX-PRO-K2; ANX-TS2-K2; ANX-DECK,Documentado
CRI-III,CRI,CRI Solfacil III,"3a Emissao, em ate 6 series (1 privada + 5 publicas), da Kanastra Securitizadora S.A.",3a,48.238.484/0001-38,Kanastra Securitizadora S.A.,2025-05-28,n/d,n/d,Ativa / adimplente,n/a,n/a,n/d,n/d,n/d,n/d,Moody's America Latina,n/d,n/d,n/a,750.0,n/d,2026-08-21,ANX-LAM-K3; ANX-DECK,Documentado
CRI-IV,CRI,CRI Solfacil IV,"4a Emissao, em 7 series (1 privada + 6 publicas), da Kanastra Securitizadora S.A.",4a,48.238.484/0001-38,Kanastra Securitizadora S.A.,2025-09-28,2025-09-26,n/d,Ativa / adimplente,n/a,n/a,n/d,Oliveira Trust DTVM S.A. (CNPJ 36.113.876/0001-91),n/d,n/d,Moody's America Latina,Itau BBA Assessoria Financeira S.A. (CNPJ 04.845.753/0001-59),Banco Bradesco BBI S.A. (CNPJ 06.271.464/0073-93); XP Investimentos (CNPJ 02.332.886/0011-78),n/a,450.0,n/d,2026-08-21,ANX-INI-K4; ANX-DECK,Documentado
