competencia,cnpj_fundo,pl,carteira_dc,dc_inadimplentes,dc_inadimplentes_ajustado_recalculado,dc_a_vencer_com_parcela_inad,dc_parcelas_inadimplentes,inad_ate_30d,inad_31_60d,inad_61_90d,inad_91_120d,inad_121_150d,inad_151_180d,inad_181_360d,inad_361_720d,inad_721_1080d,inad_maior_1080d,inad_acima_360d,inad_aging_total,inadimplencia_ex_360d,inadimplencia_ex_360d_ajustada,cnpj_classe_count,cnpj_classes,is_fic_fidc,is_np,reports_carteira_dc,reports_dc_inadimplentes,reports_inad_acima_360d,field_presence_exact,denominacao,cnpj_veiculo,admin_nome,admin_cnpj,gestor_nome,gestor_cnpj,custodiante_nome,custodiante_cnpj,segmento_principal,segmento_financeiro_principal,classificacao_anbima,publico_alvo,fund_key,cnpj_classe,cnpj_fundo_formatado,aggregation_warning,tab4_duplicate_detected,tab4_type_conflict,tab4_pl_conflict,tab4_duplicate_rows_dropped,tab4_warning,anbima_tipo,anbima_foco,classification_tier,classification_status,classification_source,classification_evidence,classification_requires_warning,classification_warning,administrador_grupo,administrador_cnpj_normalizado,gestor_grupo,gestor_cnpj_normalizado,custodiante_grupo,custodiante_cnpj_normalizado,prestadores_ausentes,monoestrutura_conglomerado,monoestrutura_entidade_legal,definicao_mono_adotada,grupo_mono,modelo_prestacao,rank,market_share_ex_fic,rank_outros,market_share_outros
2026-06,62393679000183,10010957003.11,9443495620.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62393679000183,False,False,True,True,True,True,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,66670000100.0,BANCO BRADESCO S.A.,60746948000112.0,BANCO BRADESCO S.A.,60746948000112.0,Cartao de credito,,,,62393679000183,62393679000183,62.393.679/0001-83,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Bradesco,00066670000100,Bradesco,60746948000112,Bradesco,60746948000112,False,True,False,mesmo conglomerado econômico normalizado,Bradesco,Monoestrutura,4,0.012188246320939709,1,0.0335318710279193
2026-06,53286499000101,8719298749.48,5715129617.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53286499000101,False,False,True,True,True,True,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53286499000101,INTRAG DTVM LTDA.,62418140000131.0,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,40430971000196.0,ITAU UNIBANCO S.A.,60701190000104.0,Servicos,,,,53286499000101,53286499000101,53.286.499/0001-01,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Itaú,62418140000131,Itaú,40430971000196,Itaú,60701190000104,False,True,False,mesmo conglomerado econômico normalizado,Itaú,Monoestrutura,6,0.010615664503554363,2,0.029205439702780903
2026-06,53216449000158,6390451812.87,5818229352.77,70961337.45,70961337.45,0.0,0.0,70961337.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70961337.45,70961337.45,70961337.45,1,53216449000158,False,True,True,True,True,True,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,53216449000158,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186.0,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134.0,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186.0,Financeiro,Financeiro: outros,,,53216449000158,53216449000158,53.216.449/0001-58,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,CBSF,34829992000186,CBSF,23863529000134,REAG,34829992000186,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Gestão,10,0.0077803151859665845,3,0.0214049272145231
2026-06,28169275000172,6234652185.61,3951484670.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28169275000172,False,False,True,True,True,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28169275000172,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162.0,GENIAL GESTÃO LTDA.,22119959000183.0,BANCO GENIAL S.A.,45246410000155.0,Cartao de credito,,,,28169275000172,28169275000172,28.169.275/0001-72,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Genial,27652684000162,Genial,22119959000183,Genial,45246410000155,False,True,False,mesmo conglomerado econômico normalizado,Genial,Monoestrutura,11,0.0075906306000508164,4,0.02088307370882357
2026-06,29225241000110,5861437942.62,5100989658.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29225241000110,False,False,True,True,True,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,29225241000110,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123.0,BANCO BTG PACTUAL S/A,30306294000145.0,BANCO BTG PACTUAL S/A,30306294000145.0,Setor publico,,,,29225241000110,29225241000110,29.225.241/0001-10,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,BTG Pactual,59281253000123,BTG Pactual,30306294000145,BTG Pactual,30306294000145,False,True,False,mesmo conglomerado econômico normalizado,BTG Pactual,Monoestrutura,13,0.00713624575725986,5,0.019632986243875373
2026-06,42922136000107,5751418460.99,5584036253.47,255570256.26,255570256.26,905055938.02,334100592.26,127602223.4,132483430.03,162868904.76,110892914.07,55823376.26,0.0,0.0,0.0,0.0,0.0,0.0,589670848.52,589670848.52,589670848.52,1,42922136000107,False,False,True,True,True,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,42922136000107,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140.0,VALORA RENDA FIXA LTDA.,17482086000139.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140.0,Financeiro,Financeiro: credito pessoal,,,42922136000107,42922136000107,42.922.136/0001-07,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,QI Tech,62285390000140,Valora Renda Fixa,17482086000139,QI Tech,62285390000140,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Custódia,14,0.007002298069562074,6,0.019264474115871063
2026-06,61285603000171,4467343585.25,3737181192.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,61285603000171,False,False,True,True,True,True,MAROBÁ FUNDO DE INVESTMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,61285603000171,INTRAG DTVM LTDA.,62418140000131.0,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,44870662000198.0,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172.0,Financeiro,Financeiro: outros,,,61285603000171,61285603000171,61.285.603/0001-71,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Itaú,62418140000131,Kanastra Administracao De Recursos,44870662000198,Limine Trust,24361690000172,False,False,False,mesmo conglomerado econômico normalizado,,Três prestadores distintos,16,0.0054389489436805875,7,0.014963443444165156
2026-06,34197588000137,4015059128.44,3304673379.15,287644876.6,287644876.6,626959482.48,130892120.9,238832072.53,12933471.88,17154293.369999997,6188124.53,5300634.1,4303133.01,41315231.16,43904904.24,22690540.41,25914592.27,92510036.92,418536997.49999994,326026960.5799999,326026960.5799999,1,34197588000137,False,False,True,True,True,True,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,34197588000137,BANCO DAYCOVAL S.A.,62232889000190.0,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102.0,BANCO DAYCOVAL S.A.,62232889000190.0,Financeiro,Financeiro: outros,,,34197588000137,34197588000137,34.197.588/0001-37,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Daycoval,62232889000190,Daycoval,72027832000102,Daycoval,62232889000190,False,True,False,mesmo conglomerado econômico normalizado,Daycoval,Monoestrutura,18,0.004888296856670308,8,0.013448508950991924
2026-06,12817329000129,3666009327.0,3176592026.36,1379908942.75,1379908942.75,0.0,0.0,135672100.16,30646033.81,24476580.59,22053124.9,20821656.88,18132064.14,89843381.36,175576006.1,210120712.0,652567282.81,1038264000.91,1379908942.75,341644941.84000003,341644941.84000003,1,12817329000129,False,False,True,True,True,True,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",12817329000129,BANCO FINAXIS S.A.,11758741000152.0,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,9204714000196.0,BANCO FINAXIS S.A.,11758741000152.0,Comercial,,,,12817329000129,12817329000129,12.817.329/0001-29,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Finaxis,11758741000152,Petra Capital Gestao De Investimentos,09204714000196,Finaxis,11758741000152,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Custódia,20,0.004463331994978846,9,0.012279360694679279
2026-06,29301202000155,3599850973.43,4011090870.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29301202000155,False,True,True,True,True,True,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,29301202000155,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130.0,SECURITY ADM. DE RECURSOS LTDA,2295841000107.0,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130.0,Financeiro,Financeiro: outros,,,29301202000155,29301202000155,29.301.202/0001-55,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Rji Corretora De Titulos E Valores Mobiliarios,42066258000130,Security Adm De Recursos,02295841000107,Rji Corretora De Titulos E Valores Mobiliarios,42066258000130,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Custódia,22,0.004382784819594067,10,0.012057762162327222
