competencia,cnpj_fundo,pl,carteira_dc,dc_inadimplentes,dc_inadimplentes_ajustado_recalculado,dc_a_vencer_com_parcela_inad,inad_ate_30d,inad_31_60d,inad_61_90d,inad_91_120d,inad_121_150d,inad_151_180d,inad_181_360d,inad_361_720d,inad_721_1080d,inad_maior_1080d,inad_acima_360d,inad_aging_total,inadimplencia_ex_360d,inadimplencia_ex_360d_ajustada,cnpj_classe_count,cnpj_classes,is_fic_fidc,is_np,reports_carteira_dc,reports_dc_inadimplentes,reports_inad_acima_360d,field_presence_exact,denominacao,cnpj_veiculo,admin_nome,admin_cnpj,gestor_nome,gestor_cnpj,custodiante_nome,custodiante_cnpj,segmento_principal,segmento_financeiro_principal,classificacao_anbima,publico_alvo,fund_key,cnpj_classe,cnpj_fundo_formatado,aggregation_warning,tab4_duplicate_detected,tab4_type_conflict,tab4_pl_conflict,tab4_duplicate_rows_dropped,tab4_warning,anbima_tipo,anbima_foco,classification_tier,classification_status,classification_source,classification_evidence,classification_requires_warning,classification_warning,administrador_grupo,administrador_cnpj_normalizado,gestor_grupo,gestor_cnpj_normalizado,custodiante_grupo,custodiante_cnpj_normalizado,prestadores_ausentes,monoestrutura_conglomerado,monoestrutura_entidade_legal,definicao_mono_adotada,grupo_mono,modelo_prestacao,rank,market_share_ex_fic,rank_outros,market_share_outros
2026-05,62393679000183,9984886332.21,9234748432.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62393679000183,False,False,True,True,True,True,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,66670000100.0,BANCO BRADESCO S.A.,60746948000112.0,BANCO BRADESCO S.A.,60746948000112.0,Cartao de credito,,,,62393679000183,62393679000183,62.393.679/0001-83,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos | cadastro oficial ANBIMA diverge da evidência documental publicada,Bradesco,00066670000100,Bradesco,60746948000112,Bradesco,60746948000112,False,True,False,mesmo conglomerado econômico normalizado,Bradesco,Monoestrutura,3,0.011345297638117672,1,0.027174433553292944
2026-05,53286499000101,8615892918.29,4977912194.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53286499000101,False,False,True,True,True,True,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53286499000101,INTRAG DTVM LTDA.,62418140000131.0,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,40430971000196.0,ITAU UNIBANCO S.A.,60701190000104.0,Servicos,,,,53286499000101,53286499000101,53.286.499/0001-01,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Itaú,62418140000131,Itaú,40430971000196,Itaú,60701190000104,False,True,False,mesmo conglomerado econômico normalizado,Itaú,Monoestrutura,4,0.009789782910279252,2,0.02344864045723567
2026-05,53263761000100,8419843458.05,4362910139.02,235929352.01,235929352.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235929352.01,235929352.01,235929352.01,0.0,0.0,1,53263761000100,False,False,True,True,True,True,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53263761000100,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186.0,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,46356742000155.0,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186.0,Financeiro,Financeiro: outros,,,53263761000100,53263761000100,53.263.761/0001-00,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,CBSF,34829992000186,REAG,46356742000155,REAG,34829992000186,False,False,False,mesmo conglomerado econômico normalizado,,Gestão + Custódia,5,0.009567022289455756,3,0.022915080749774115
2026-05,28169275000172,6702700848.65,4677303453.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28169275000172,False,False,True,True,True,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28169275000172,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162.0,GENIAL GESTÃO LTDA.,22119959000183.0,BANCO GENIAL S.A.,45246410000155.0,Cartao de credito,,,,28169275000172,28169275000172,28.169.275/0001-72,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Genial,27652684000162,Genial,22119959000183,Genial,45246410000155,False,True,False,mesmo conglomerado econômico normalizado,Genial,Monoestrutura,10,0.0076159240653435635,4,0.01824177990406079
2026-05,53216449000158,6390376605.81,5818229352.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53216449000158,False,True,True,True,True,True,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,53216449000158,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186.0,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134.0,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186.0,Financeiro,Financeiro: outros,,,53216449000158,53216449000158,53.216.449/0001-58,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,CBSF,34829992000186,CBSF,23863529000134,REAG,34829992000186,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Gestão,12,0.007261046565818213,5,0.017391771791623965
2026-05,29225241000110,5765091894.78,5259637900.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29225241000110,False,False,True,True,True,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,29225241000110,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123.0,BANCO BTG PACTUAL S/A,30306294000145.0,BANCO BTG PACTUAL S/A,30306294000145.0,Setor publico,,,,29225241000110,29225241000110,29.225.241/0001-10,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,BTG Pactual,59281253000123,BTG Pactual,30306294000145,BTG Pactual,30306294000145,False,True,False,mesmo conglomerado econômico normalizado,BTG Pactual,Monoestrutura,14,0.006550568657590528,6,0.01569002404343364
2026-05,63700113000110,5655088696.55,2021300298.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,63700113000110,False,False,True,True,True,True,NC 2025 I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,63700113000110,INTRAG DTVM LTDA.,62418140000131.0,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,44870662000198.0,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172.0,Financeiro,Financeiro: outros,,,63700113000110,63700113000110,63.700.113/0001-10,,False,False,False,0,,Outros,Multicarteira Outros,evidencia_publicada,Evidência documental/manual publicada,"CVM/FundosNet; regulamentos, emissões, assembleias e eventos públicos","TIPO ANBIMA OUTROS COM FOCO DE ATUACAO EM MULTICARTEIRAS OUTROS ,",False,,Itaú,62418140000131,Kanastra Administracao De Recursos,44870662000198,Limine Trust,24361690000172,False,False,False,mesmo conglomerado econômico normalizado,,Três prestadores distintos,15,0.006425577848127004,7,0.015390644110453551
2026-05,42922136000107,5001607361.66,4894492468.39,257963004.37,257963004.37,813045610.14,121682637.67,110093714.5,156544436.3,111092076.62,63299277.17,0.0,0.0,0.0,0.0,0.0,0.0,562712142.26,257963004.37,257963004.37,1,42922136000107,False,False,True,True,True,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,42922136000107,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140.0,VALORA RENDA FIXA LTDA.,17482086000139.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140.0,Financeiro,Financeiro: credito pessoal,,,42922136000107,42922136000107,42.922.136/0001-07,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,QI Tech,62285390000140,Valora Renda Fixa,17482086000139,QI Tech,62285390000140,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Custódia,16,0.0056830616092225054,8,0.01361215765377748
2026-05,51152102000163,3967418914.68,3945999635.37,3209618.97,3209618.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3209618.97,3209618.97,3209618.97,0.0,0.0,1,51152102000163,False,True,True,True,True,True,HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,51152102000163,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186.0,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134.0,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186.0,Financeiro,Financeiro: outros,,,51152102000163,51152102000163,51.152.102/0001-63,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,CBSF,34829992000186,CBSF,23863529000134,REAG,34829992000186,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Gestão,19,0.004507968037346678,9,0.010797555233779678
2026-05,34197588000137,3923226340.78,3241518939.8999996,166858814.01999998,166858814.01999998,460154345.55,117337597.0,19232964.39,6857915.48,6018862.42,4076424.2199999997,6396603.43,40711093.11,39607715.26,22469610.33,24189817.88,86267143.47,286898603.5199999,80591670.54999998,80591670.54999998,1,34197588000137,False,False,True,True,True,True,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,34197588000137,BANCO DAYCOVAL S.A.,62232889000190.0,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102.0,BANCO DAYCOVAL S.A.,62232889000190.0,Financeiro,Financeiro: outros,,,34197588000137,34197588000137,34.197.588/0001-37,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Daycoval,62232889000190,Daycoval,72027832000102,Daycoval,62232889000190,False,True,False,mesmo conglomerado econômico normalizado,Daycoval,Monoestrutura,20,0.004457754355627275,10,0.0106772826414798
