Nome,CLOUDWALK KICK ASS I,CLOUDWALK AKIRA I,CLOUDWALK KICK ASS II,CLOUDWALK AKIRA II FIDC,CLOUDWALK BIG PICTURE I,CLOUDWALK BIG PICTURE II,CLOUDWALK BIG PICTURE III,CLOUDWALK BIG PICTURE IV,CLOUDWALK A.I.,CLOUDWALK PI,CLOUDWALK BELA
Grupo,Cloudwalk,Cloudwalk,Cloudwalk,Cloudwalk,Cloudwalk,Cloudwalk,Cloudwalk,Cloudwalk,Cloudwalk,Cloudwalk,Cloudwalk
CNPJ,42.085.816/0001-05,42.085.830/0001-09,42.102.603/0001-44,44.124.617/0001-94,54.218.673/0001-41,54.218.941/0001-25,54.219.179/0001-00,54.248.022/0001-02,57.609.282/0001-46,60.356.171/0001-80,62.393.679/0001-83
Páginas locais analisadas,616,437,768,538,628,629,633,649,384,318,1129
Última competência IME,02/2026,04/2026,—,—,—,—,—,—,—,—,—
PL (R$ mm),R$ 157 mm,R$ 392 mm,—,—,—,—,—,—,—,—,—
Direitos creditórios / PL,"81,0%","80,3%",—,—,—,—,—,—,—,—,—
Vencidos Over 30d / crédito,"0,0%","0,0%",—,—,—,—,—,—,—,—,—
Vencidos Over 60d / crédito,"0,0%","0,0%",—,—,—,—,—,—,—,—,—
Vencidos Over 90d / crédito,"0,0%","0,0%",—,—,—,—,—,—,—,—,—
Vencidos Over 180d / crédito,"0,0%","0,0%",—,—,—,—,—,—,—,—,—
Vencidos Over 360d / crédito,"0,0%","0,0%",—,—,—,—,—,—,—,—,—
PDD / crédito,"0,0%","0,0%",—,—,—,—,—,—,—,—,—
PDD / vencidos,—,—,—,—,—,—,—,—,—,—,—
Cotas sênior / PL,"92,7%","95,9%",—,—,—,—,—,—,—,—,—
Cotas mezanino / PL,"0,0%","0,0%",—,—,—,—,—,—,—,—,—
Cotas subordinadas / PL,"7,3%","4,1%",—,—,—,—,—,—,—,—,—
Séries/classes emitidas identificadas,2,1,4,4,1,1,1,1,2,4,6
Volume emitido identificado (R$ mm),6,500,1.518,1.500,878,291,142,240,1.940,3.142,9.700
Primeira emissão identificada,23/08/2021,21/01/2022,23/08/2021,21/01/2022,15/04/2024,15/04/2024,15/04/2024,16/04/2024,14/10/2024,11/04/2025,16/09/2025
Última emissão identificada,01/09/2021,21/01/2022,23/08/2023,28/02/2025,15/04/2024,15/04/2024,15/04/2024,16/04/2024,14/10/2024,11/04/2025,27/02/2026
