fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
CLOUDWALK KICK ASS I,42.085.816/0001-05,05/09/2024,Limite de concentração,elegibilidade,<=,20%,nao_monitoravel,—,733165_regulamento_regulamento_733165_2024-09-05.pdf
CLOUDWALK KICK ASS I,42.085.816/0001-05,05/09/2024,Alocação mínima em direitos creditórios,enquadramento,>=,3%,monitoravel,Dir Cred / PL,733165_regulamento_regulamento_733165_2024-09-05.pdf
CLOUDWALK KICK ASS I,42.085.816/0001-05,05/09/2024,Alocação mínima em direitos creditórios,enquadramento,>=,50%,monitoravel,Dir Cred / PL,733165_regulamento_regulamento_733165_2024-09-05.pdf
CLOUDWALK KICK ASS I,42.085.816/0001-05,05/09/2024,Atraso/Inadimplência - evento de avaliação,avaliação,>=,3%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,733165_regulamento_regulamento_733165_2024-09-05.pdf
CLOUDWALK KICK ASS I,42.085.816/0001-05,05/09/2024,Atraso/Inadimplência - evento de avaliação,Atraso/Inadimplência - evento de avaliação,—,3%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,733165_regulamento_regulamento_733165_2024-09-05.pdf · ID 733165 · 05/09/2024
CLOUDWALK KICK ASS I,42.085.816/0001-05,05/09/2024,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,733165_regulamento_regulamento_733165_2024-09-05.pdf
CLOUDWALK KICK ASS I,42.085.816/0001-05,05/09/2024,Hedges/derivativos permitidos,Hedges/derivativos permitidos,—,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,733165_regulamento_regulamento_733165_2024-09-05.pdf · ID 733165 · 05/09/2024
CLOUDWALK AKIRA I,42.085.830/0001-09,24/07/2025,Limite de concentração,elegibilidade,<=,20%,nao_monitoravel,—,966441_regulamento_regulamento_966441_2025-07-24.pdf
CLOUDWALK AKIRA I,42.085.830/0001-09,24/07/2025,Alocação mínima em direitos creditórios,enquadramento,>=,50%,monitoravel,Dir Cred / PL,966441_regulamento_regulamento_966441_2025-07-24.pdf
CLOUDWALK AKIRA I,42.085.830/0001-09,24/07/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,966441_regulamento_regulamento_966441_2025-07-24.pdf
